Name,Campaign,Ongoing
February 13-15th - Varying shifts - Tattoo Arts Convention,7016g000000pgcZAAQ,1
February 15th - 12-4pm: CNKP's Soulmate Skate event,7016g000000pgcZAAQ,1
February 3rd  - 11:30-3pm: Adoption event with Shake Shack,7016g000000pgcZAAQ,1
February 4th - 11:30-3pm: Adoption Day at PETCO Andorra,7016g000000pgcZAAQ,1
Holiday event at Trust - various dates/times,7016g000000pgcZAAQ,1
January 18th - 12-3pm: Adoption Event with ZipCar,7016g000000pgcZAAQ,1
January 20th and 27th - 5-8p.m.: Johnny Rockets Fundraiser,7016g000000pgcZAAQ,1
July 11th - July 14th: Acro-Cats Show (Mutiple days/shifts!),7016g000000pgcZAAQ,1
July 15th - 2:30-6pm: PAWS over Philly (Variety show/performance event),7016g000000pgcZAAQ,1
July 18th - 6-9 p.m.: Lucky's Adoption event and Weiner Race,7016g000000pgcZAAQ,1
July 1st: 6:30-9pm - Movies in Rittenhouse (Welcome America),7016g000000pgcZAAQ,1
July 21st - 11:30 a.m. - 3 p.m.: Adoption Day with Pet Valu Jenkintown,7016g000000pgcZAAQ,1
July 21st: 10am-12pm - Donation Drive event,7016g000000pgcZAAQ,1
July 22nd- 11:30-3pm: Winchester Walk Adoption event,7016g000000pgcZAAQ,1
July 23rd - VARIOUS SHIFTS - Clear The Shelters event at NE location,7016g000000pgcZAAQ,1
July 23rd: VARIOUS SHIFTS - Clear the Shelters event -Old City location,7016g000000pgcZAAQ,1
July 27th - 10 a.m. - 2 p.m.: Adoption event in Pretzel Park,7016g000000pgcZAAQ,1
July 4th: 10am-6pm (TWO SHIFTS) - Party on the Parkway,7016g000000pgcZAAQ,1
July 6th: 11am-6pm (TWO SHIFTS): Taste of Philadelphia,7016g000000pgcZAAQ,1
July 6th: 12-6 p.m. (TWO shifts) - Old City: Inside Out,7016g000000pgcZAAQ,1
July 7th - 1:30-3pm: Kitty Yoga with Twisted Monkey,7016g000000pgcZAAQ,1
June 10th - 1-3pm: PAWSome Doubles Event,7016g000000pgcZAAQ,1
June 10th - 11:30am - 3pm: Philly Pride Parade,7016g000000pgcZAAQ,1
June 10th - 11am-6pm: Philly Pride Festival (multiple shifts),7016g000000pgcZAAQ,1
"June 14th - 4:30-8pm: Rails, Tales and Ales (celebrating the Rail Park)",7016g000000pgcZAAQ,1
June 15th - 16th - All Paws on Deck: MULTIPLE SHIFTS,7016g000000pgcZAAQ,1
June 16th - 10:30am-2pm: Church of St. Alban June Fair,7016g000000pgcZAAQ,1
June 16th -10:30-3pm: Adoption Day with Wellington Hospital,7016g000000pgcZAAQ,1
June 1st - 12:30pm - 5pm: The Weiss is Right fundraising event,7016g000000pgcZAAQ,1
June 21st - 10am - 2pm: Adoption event at Hyperion Bank,7016g000000pgcZAAQ,1
June 22nd - 11am - 1pm: Fundraiser at 1682 Square Restaurant,7016g000000pgcZAAQ,1
June 23rd - 10:30-2pm: Adoption Day with Remax,7016g000000pgcZAAQ,1
June 23rd - 9:30am-2pm: Dramatic PAWS with Interact Theater,7016g000000pgcZAAQ,1
June 24th - 11:30am- 3pm.: Adoption event at Wissahickon Brewing,7016g000000pgcZAAQ,1
June 24th - 12-3pm: Adoption Event with PETCO Ardmore,7016g000000pgcZAAQ,1
June 26th - 7:30pm-11pm: Wands and Whisky (Harry Potter themed event),7016g000000pgcZAAQ,1
June 2nd - 1pm - 3pm: PAWSome Doubles,7016g000000pgcZAAQ,1
June 2nd - 9am-2pm: Adoption Day on the Battleship NJ,7016g000000pgcZAAQ,1
June 30th - 5:30pm-9pm: Unleashed Art Show and PAWS fundraiser,7016g000000pgcZAAQ,1
June 3rd - 11:30am - 3pm: Adoption event with The Body Shop,7016g000000pgcZAAQ,1
June 3rd - 3:30-7pm: Beer week event with Yards Brewery and Garage Bar,7016g000000pgcZAAQ,1
June 4 - 4-6pm: London Grill Dunk Tank,7016g000000pgcZAAQ,1
June 4th: 5:30-9pm: Beer week event with Victory Brewing,7016g000000pgcZAAQ,1
June 6th - 7:30-11 p.m.: 4th Annual PAWS Benefit Concert,7016g000000pgcZAAQ,1
June 6th: 7-9pm - PAWS Happy Hour at Cavanaugh's,7016g000000pgcZAAQ,1
June 8th - 9:30am - 12pm: Harleys 4 Hounds (Part 1),7016g000000pgcZAAQ,1
June 9th - 11:30am-5pm: Bangarang FUNdraiser,7016g000000pgcZAAQ,1
June 9th - 11am - 6pm: Philly Pride Festival and Parade,7016g000000pgcZAAQ,1
March 22nd - 5-9pm: Bark in the Bowl - Philadelphia Wings game w/RedPaw,7016g000000pgcZAAQ,1
March 24th- 10:30-3pm: Adopt at The Top,7016g000000pgcZAAQ,1
March 26th - 6-9pm: Bourbon Battle at The Trestle Inn,7016g000000pgcZAAQ,1
March 3rd - 11:30-3pm:  Adoption event with Petco Unleashed,7016g000000pgcZAAQ,1
March 5th - 4:45-9p.m.: Adoption event with the Flyers,7016g000000pgcZAAQ,1
March 9th - 4:30-9pm: Fido Friday at the Flower Show,7016g000000pgcZAAQ,1
May 11th - 8a.m. - 4p.m. Old Pine Flea Market (TWO shifts),7016g000000pgcZAAQ,1
May 12th - 11:30-2pm: Love Your Park event,7016g000000pgcZAAQ,1
May 12th - 11:30-7pm: Plazapalooza,7016g000000pgcZAAQ,1
May 18th - 10am - 12pm: Doggie Ball,7016g000000pgcZAAQ,1
May 18th - 11am - 4pm (split into 2 shifts): Super Adoption Day,7016g000000pgcZAAQ,1
May 19th - 10:30-5pm: Italian Market Festival,7016g000000pgcZAAQ,1
May 21st - 10 - 6pm (Multiple shifts): Trenton Avenue Arts Festival,7016g000000pgcZAAQ,1
May 25th - 5-7pm: Happy Hour event with Victory Brewing and PHS,7016g000000pgcZAAQ,1
May 26th - 9:30am-2pm: Adoption Day with American Eagle,7016g000000pgcZAAQ,1
May 2nd - 6-8:30pm: Information event with Premier Design,7016g000000pgcZAAQ,1
May 30th & 31st: Adoption Weekend at NE PAWS Adoption Center,7016g000000pgcZAAQ,1
May 30th & 31st: Adoption Weekend at PAWS Old City Adoption Center,7016g000000pgcZAAQ,1
May 5th - 10:30am-6pm: South St. Spring Festival (2 shifts),7016g000000pgcZAAQ,1
May 5th - 11:30am-3pm: Adoption Day with Domus Apartments,7016g000000pgcZAAQ,1
May 6th and 13th-  Various Times: PAWS at the Renaissance Faire,7016g000000pgcZAAQ,1
May 9th - 5-9pm: Raven Lounge Happy Hour,7016g000000pgcZAAQ,1
Multiple Sundays/month - 12pm - 3pm.: PETCO Ardmore Adoption event,7016g000000pgcZAAQ,1
November 16th - 12-3 pm: Adoption event with Post Properties,7016g000000pgcZAAQ,1
November 23rd - 12-3: CNKP event,7016g000000pgcZAAQ,1
November 25th-28th: Best Friends Mega Adoption event (Grant Ave.),7016g000000pgcZAAQ,1
November 3rd - 9am-12pm: Yellow Ribbon Family Day,7016g000000pgcZAAQ,1
October 12th - 6-9:30 p.m.: Roller Derby event,7016g000000pgcZAAQ,1
October 13th - 12-6pm (TWO shifts): Outfest,7016g000000pgcZAAQ,1
October 18th - 10:30am - 3pm: Schuylkill Fall Festival,7016g000000pgcZAAQ,1
October 1st: 9am-12pm: Doggie Yoga with 1100 Social,7016g000000pgcZAAQ,1
October 20 - 9:30am-1pm: Paws for a Cause,7016g000000pgcZAAQ,1
October 21st - 12:30pm-3pm: Summit Park's Barktoberfest,7016g000000pgcZAAQ,1
October 22nd - 7-9pm: Sip and Shop at the Cafe (Adoption event),7016g000000pgcZAAQ,1
October 24th - 5-9pm: PAWS night with the Flyers,7016g000000pgcZAAQ,1
October 26 - 11 a.m. - 4 p.m.: East Passyunk Fall Fest & Spooky Saturday,7016g000000pgcZAAQ,1
October 26th - 6-10 p.m.: Stella Rossa Fundraising event,7016g000000pgcZAAQ,1
October 2nd - 5:30 - 9p.m.: Fabulous Shoe Night,7016g000000pgcZAAQ,1
October 2nd - Chefs' Night for PAWS (VARIOUS shifts!),7016g000000pgcZAAQ,1
October 31st - 12pm-4pm: Halloween event at Pretzel Park,7016g000000pgcZAAQ,1
October 5th - 12 - 6pm: Roxtober Fest,7016g000000pgcZAAQ,1
October 7th - 12-2pm: Adoption event with Ardmore Animal Hospital,7016g000000pgcZAAQ,1
October 8th - 12-3pm: Adoption event at Korman Rushwood,7016g000000pgcZAAQ,1
October 9th - 11am-6pm: Old City Festival (multiple shifts),7016g000000pgcZAAQ,1
October 9th - 12-6pm: OutFest (multiple shifts),7016g000000pgcZAAQ,1
Saturdays in December - 12:30-5pm: Gift Wrapping event in Old City,7016g000000pgcZAAQ,1
Second Wknd (monthly) - 11am - 3pm: Adoption Weekend at PETCO Grant,7016g000000pgcZAAQ,1
September 10th - 5:30-9:30 p.m.: Bark in the Park with the Phillies,7016g000000pgcZAAQ,1
September 14th and 15th - 11am - 3pm: PetSmart Adoption Weekend,7016g000000pgcZAAQ,1
September 20th - 12-2pm: Adoption event with TD Bank (Old City),7016g000000pgcZAAQ,1
September 21st - 12-3 p.m.: Adoption Event at Julian Abele Park,7016g000000pgcZAAQ,1
September 24th - 9am-12pm: Monster Milers Rescue Run,7016g000000pgcZAAQ,1
September 25th - 5-9 p.m.: Saks 5th Avenue Fashion show for PAWS,7016g000000pgcZAAQ,1
September 28 - 10:00-3:30: Greensgrow Farms Fall Festival,7016g000000pgcZAAQ,1
September 29th - 7:30am - 12p.m.: Rescue Run,7016g000000pgcZAAQ,1
September 5th -  7-10 p.m.: Jack Daniels birthday party with PAWS,7016g000000pgcZAAQ,1
September 7th: 12-3 p.m.:Adoption event with Free People,7016g000000pgcZAAQ,1
September 8th - 12 pm - 3 pm: Adoption event at TD Bank,7016g000000pgcZAAQ,1
September 9th - 11am-4pm: CNKP Super Adoption Day (2 shifts),7016g000000pgcZAAQ,1
